_id,keywords
{ "$oid" : "515edf99dcd7f3713e00000b" }," ucla headlin april 4 2013 news preserv histor watt tower ertugrul taciroglu associ professor environment civil engin ucla henri samu school engin appli scienc interview monday kcrw 89 9 fm"
{ "$oid" : "515edf99dcd7f3713e00000c" }," ucla extend athlet director dan guerrero contract 2019 dan guerrero ucla nation exampl intercollegi athlet serv mission higher educ chancellor gene block"
{ "$oid" : "515edf99dcd7f3713e00000d" }," ucla host health confer lgbt student student ucla david geffen school medicin field school public health help organ event run april 5 7"
{ "$oid" : "515edf99dcd7f3713e00000e" }," ucla headlin april 3 2013 news tv news juan articl tuesday al jazeera latino media cite ldquo juan represent latino network news quot book otto santa ana associ professor"
{ "$oid" : "515edf99dcd7f3713e00000f" }," ucla dentistri 11m 5 la expand care children pregnant women fund will establish ucla 5 la children dental care program will benefit resid underserv communiti high risk dental diseas"
{ "$oid" : "515edf99dcd7f3713e000010" }," dancer walk side broad art center happen stroll broad art center april 3 noon notic walk side stori build don panic"
{ "$oid" : "515edf99dcd7f3713e000011" }," ucla brain imag tool stroke risk test help identifi cognit declin earli research individu higher stroke risk perform wors cognit test brain scan evid plaqu tangl alzheim"
{ "$oid" : "515edf9adcd7f3713e000012" }," ucla institut foster unifi approach understand cure pediatr diseas institut will pioneer advanc pediatr medicin key area brain behavior nutrit metabol cancer inflamm infect immun"
{ "$oid" : "515edf9adcd7f3713e000013" }," ucla welcom head basketbal coach excel colleg basketbal pinnacl ucla basketbal steve alford told report well wisher april 2 press confer"
{ "$oid" : "515edf9adcd7f3713e000014" }," ucla headlin april 2 2013 news risk hormon therapi women ktla channel 5 report monday studi dr rowan chlebowski professor hematolog ndash oncolog david geffen school medicin ucla women"
{ "$oid" : "515edf9adcd7f3713e000015" }," chancellor lead ucla conting white hous announc brain initi member ucla deleg pioneer initi will fund project seek way treat cure prevent brain disord"
{ "$oid" : "515edf9adcd7f3713e000016" }," ucla headlin april 1 2013 news chamber music ucla rsquo clark librari sunday rsquo los angel time featur profil ucla rsquo william andrew clark memori librari los angel west adam district highlight librari"
{ "$oid" : "515edf9adcd7f3713e000017" }," ucla architectur urban design announc event spring 2013 ucla architectur urban design present seri public event spring includ lectur exhibit"
{ "$oid" : "515edf9adcd7f3713e000018" }," smash status quo optimist 2 0 actor athlet scientist groundbreak alumni faculti featur second phase ucla nation ad campaign"
{ "$oid" : "515edf9adcd7f3713e000019" }," anthropologist help bring western health care realiz care indigen peopl requir medic knowledg skill brought physician anthropologist ucla learn"
{ "$oid" : "515edf9adcd7f3713e00001a" }," ucla headlin march 28 2013 news women minor tv write jezebel report tuesday writer guild america ndash west report author darnel hunt professor sociolog director ucla bunch center african american"
{ "$oid" : "515edf9adcd7f3713e00001b" }," ucla ethnomusicolog depart announc event spring 2013 depart ethnomusicolog ucla herb alpert school music offer seri event public enjoy spring includ perform academ lectur"
{ "$oid" : "515edf9adcd7f3713e00001c" }," ucla center creat interact electr map los angel map resid find energi averag custom neighborhood relat incom level track energi time"
{ "$oid" : "515edf9adcd7f3713e00001d" }," ucla studi find heart failur medic high cost effect research medic recommend nation guidelin effect save patient live provid save health care system"
{ "$oid" : "515edf9adcd7f3713e00001e" }," ucla headlin march 27 2013 news undocu usa articl tuesday rsquo las vega review journal immigr reform cite north american integr develop center ucla estim 190 000"
{ "$oid" : "515edf9adcd7f3713e00001f" }," lyder side westwood courtney lyder charismat dean ucla school nurs regular westwood eateri name cocktail dish"
{ "$oid" : "515edf9adcd7f3713e000020" }," ucla tft usc host fourth annual transmedia hollywood confer april 12 daylong event will explor shift paradigm storytel emerg technolog blur boundari entertain polit"
{ "$oid" : "515edf9adcd7f3713e000021" }," ucla physicist techniqu cool molecul step stone quantum comput method super cool molecul key step develop quantum comput"
{ "$oid" : "515edf9adcd7f3713e000022" }," park perk teenag live close park physic activ ucla find park starv california adolesc live park open space"
{ "$oid" : "515edf9adcd7f3713e000023" }," 200 physician ucla health system name 2013 best doctor america list list compil year identifi best train experienc skill specialist practic"
{ "$oid" : "515edf9adcd7f3713e000024" }," ucla nation student assess center expand reach partnership cresst tap feder fund consortium developng educ assess student half state includ california"
{ "$oid" : "515edf9adcd7f3713e000025" }," ucla headlin march 26 2013 news prof help develop bionic eye la week blog today highlight work wentai liu professor bioengin ucla henri samu school engin appli scienc develop power comput chip"
{ "$oid" : "515edf9adcd7f3713e000026" }," newli admit freshmen twitter excit twitter flurri ecstat tweet high school senior nation learn ve admit ucla fall 2013 freshman class"
{ "$oid" : "515edf9adcd7f3713e000027" }," suggest popular diabet drug abnorm pancreat growth human abnorm growth appear associ increas risk neuroendocrin tumor research ucla univers florida"
{ "$oid" : "515edf9adcd7f3713e000028" }," research find predict woman final menstrual period develop help women physician better prepar onset bone loss increas cardiovascular risk factor"
{ "$oid" : "515edf9adcd7f3713e000029" }," ucla headlin march 25 2013 news stress mom birth defect healthday news examin blog report today led dr jorn olsen professor chair epidemiolog ucla field school public health indic stress"
{ "$oid" : "515edf9adcd7f3713e00002a" }," ucla reliev ben howland duti head men basketbal coach director athlet dan guerrero inform howland decis sunday afternoon nation search successor begun click full ucla statement"
{ "$oid" : "515edf9adcd7f3713e00002b" }," youth diabet greater risk transit pediatr adult care research youth type 1 diabet move pediatr adult care chronic high blood glucos level"
{ "$oid" : "515edf9adcd7f3713e00002c" }," ucla headlin march 22 2013 news difficulti donat food column today rsquo los angel time difficulti good samaritan encount donat leftov food homeless shelter chariti cite studi ucla center"
{ "$oid" : "515edf9adcd7f3713e00002d" }," engin invent bionic eye help blind ucla bioengin professor wentai liu decad visionari burst headlin month fda approv call bionic eye blind"
{ "$oid" : "515edf9adcd7f3713e00002e" }," ucla headlin march 21 2013 news breath lung transplant nbc quot today quot ktla channel 5 report today knbc channel 4 york wcbs channel 2 report wednesday ronald reagan ucla medic center patient underw nation"
{ "$oid" : "515edf9adcd7f3713e00002f" }," polic commission john mack ucla bunch center thurgood marshal lectur mack longtim civil right leader vice presid los angel polic commiss will speak april 4 annual ucla bunch center sponor event"
{ "$oid" : "515edf9adcd7f3713e000030" }," exhibit ucla celebr altern independ architectur publish archizin will display ucla architectur urban design perloff galleri april 12 31"
